SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
c	21413970	11997519	24 Meadowbrook Ct	Cotati	CA	94931	38.334222	-122.709061	CONDO	319000	315000	3	2.5	1756	Composition	109335600	(null)	2 Car	(null)	"Dryer Included, Hookups Only, Washer Included"	1989	2	Y	Level	Traditional	Central Heat	(null)	Wood Siding	"Laminate, Parquet, Part Carpet, Vinyl/Linoleum"	318	"Smoke Alarm(s), Cable TV available, City Utilities, Gas Water Heater, PG&E, Cable TV"	0	0	0	0	45	"This large 3 bd/ 2 1/2 bath pud, with 2 car garage and private backyard is close to shopping. This home is light and bright with laminate flooring in the living room complemented with a fireplace. Great for an investor."
d	40666108	3651036	7038 Sayre Dr	Oakland	CA	94611	37.833313	-122.196907	SFR	749000	840100	4	2	2248	(null)	7250	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	Wooded	"Dryer, Washer"	1965	2	Y	"Downslope, Level"	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Wood Siding	"Hardwood Floors, Tile, Wall to Wall Carpet"	(null)	Window Coverings	0	0	0	0	30	"Modern ?Mid-Century? Styling - cathedral beam ceiling & floor to ceiling windows, open floor plan: living room, dining area and remodeled kitchen leading to expansive decks for indoor/outdoor living, wood flrs, remodeled baths, large office, family room, 2 car garage, mins to Village/Hiking & Biking"
d	40648547	3623943	1531 Havenscourt Blvd	Oakland	CA	94621	37.76359558	-122.1908798	SFR	279888	330000	3	1	1539	Composition Shingles	4000	(null)	(null)	(null)	(null)	1927	(null)	Y	(null)	(null)	Forced Air 1 Zone	(null)	Stone	Hardwood Floors	(null)	(null)	0	0	0	0	140	"Classic havenscourt! Updated. Super sharpe. No floor furnace here, modern central heat. Den and bathroom downstairs. New roof. A lot of house for this price."
a	81411874	11632878	5693 Indian Avenue	San Jose - Blossom Valley	CA	95123	37.247852	-121.841675	SFR	639000	680000	4	2	1516	Composition	6300	(null)	"Attached, 2 Car Garage"	Neighborhood	"220 Volts In Kitchen, 220 Volts In Laundry Area, Laundry Area - In Garage"	1962	(null)	Y	Level	Ranch	Central Forced Air	No Cooling	"Wood, Stucco"	"Tile, Wall to Wall Carpet, Hardwood"	(null)	"Double Pane Window(s), Ceiling Fan(s)"	0	0	0	0	33	"Beautiful curb appeal found in this Blossom Valley home. Light and bright with hardwood floors, new carpet in family room, dual pane windows, copper plumbing, newer roof, furnace and elect panel. French door from bedrm to backyard, sliding door from family room to rear patio. Wisteria draped over pergola in rear yard; private and lovely garden!"
d	40659490	4048331	1852 Mount Conness Way	Antioch	CA	94531	37.96219141	-121.7946355	SFR	359000	359000	3	3	2196	Tile	7247	(null)	"3 Garage Spaces, Attached Garage, Interior Access From Garage"	(null)	"220 Volt Outlet, Hookups Only, In Laundry Room"	1999	2	Y	Regular	Contemporary	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Tile, Vinyl, Wall to Wall Carpet"	(null)	"Mirrored Closet Door(s), Security Alarm System - Owned, Window Coverings"	0	0	0	0	22	This beautiful 2 story home has 3 bedrooms\3 full baths. The formal living\dining area has a vaulted ceiling. 1 bdrm\bath on entry level. Family room with fireplace. Upstairs loft. Finished garage with 3 parking spaces. Well maintained yard..
a	81424722	(null)	Address Withheld By Seller	Daly City	CA	94014	0	0	SFR	588888	580000	3	2	1190	Tar & Gravel	2300	(null)	"Attached, 2 Car Garage"	(null)	In Garage	1956	(null)	Y	(null)	(null)	Central Forced Air	(null)	"Brick, Stucco"	"Tile, Wall to Wall Carpet, Hardwood"	(null)	"Double Pane Window(s), Cable TV Available"	0	0	0	0	48	Desirable 3 bedroom 2 bathroom floor plan with bonus rooms down with expansion possibilities. House is outdated and Needs TLC.
d	40657338	4098676	1847 Farm Bureau Rd	Concord	CA	94519	37.97982407	-122.0118637	SFR	485000	485000	3	2	1827	Composition Shingles	11050	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	In Garage	1974	2	Y	Level	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Laminate, Wall to Wall Carpet"	(null)	Mirrored Closet Door(s)	0	0	0	0	23	"Amazingly beautiful upgraded and remodeled home that features vaulted ceilings, newer paint inside and out, updated kitchen with granite & SS appliances, newer bathrooms, roof, A/C, floors and doors. Wonderfully landscaped large lot w/ raised garden beds, new deck for entertaining."
c	21325129	11825781	316 12th St	Vallejo	CA	94590	38.102376	-122.236056	SFR	179000	189000	3	2	1635	Tar & Gravel	5998	(null)	(null)	(null)	(null)	1925	1	Y	Level	Ranch	Central Heat	(null)	Stucco	(null)	(null)	"Security Alarm(s), Gas Water Heater, Satellite Dish"	0	0	0	0	281	"Some updating is needed in kitchen and bathrooms, beamed ceilings in living room with rustic rock fireplace, single car garage and RV parking."
d	40651242	3626926	8123 Dowling St	Oakland	CA	94605	37.7609024	-122.1695175	SFR	249000	265000	3	1	1375	Composition Shingles	4000	(null)	"1 Garage Space, Attached Garage, Garage Door Opener"	(null)	"Hookups Only, In Laundry Room"	1947	1	Y	Regular	Ranch	Forced Air 1 Zone	(null)	Stucco	Laminate	(null)	(null)	0	0	0	0	51	"Newly remodeled large single family home that features granite counter tops, new kitchen cabinets, new wood-like laminated flooring and new garage door. Fresh interior paint and garage floor coating. Open house 3\30\2014 1 to 3 PM..."
d	40661642	4285351	3500 Carlfield Rd	El Sobrante	CA	94803	37.96365356	-122.3223648	SFR	295000	284500	3	1	1022	Tar And Gravel	5000	(null)	"1 Garage Space, Attached Garage"	(null)	"Hookups Only, In Laundry Room"	1948	1	Y	"Corner, Regular"	(null)	Wall Furnace	(null)	Wood Siding	"Laminate, Tile"	(null)	(null)	0	0	0	0	78	"Great starter home or perfect investment property. Three well-sized bdrms w/roomy closets. Attractive tile counters and floors in kitch & bath. Most windows, newer. Very nice laminate floors, throughout. Laundry room & attached garage with interior access. Large corner lot, close to shops & freeway."
a	81412849	11677594	7824 Dickens Way	Gilroy	CA	95020	37.01060486	-121.5851975	SFR	460000	460000	3	2.5	1497	Composition	3000	"In Ground Concrete, Association Community Pool"	2 Car Garage	(null)	"Gas Hookup In Laundry Area, 220 Volts In Laundry Area, Laundry Area - Inside"	2005	(null)	Y	(null)	Traditional	Central Forced Air	Central Air	Wood	"Area Carpeting, Tile"	184	Double Pane Window(s)	1	0	0	0	42	"Charming single family home in a great neighborhood. Open floor plan, attached two car garage, inside laundry, tile floors, large pantry, extra storage, master suite with walk-in closet and so much more! Great location at back of complex. Complex has play structure and pool. Close to shopping and restaurants."
d	40640039	3814329	312 Blossom Way #b	Hayward	CA	94541	37.67792511	-122.1068878	TOWNHOUSE	188000	260100	2	2	968	Composition Shingles	21800	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"220 Volt Outlet, Hookups Only, In Garage"	1992	2	(null)	(null)	Traditional	Forced Air 1 Zone	Ceiling Fan(s)	Wood Siding	"Linoleum, Wall to Wall Carpet"	195	"Security Alarm System - Leased, Window Coverings"	0	0	0	0	177	"Perfect starter home. 2bd/2ba in a quite private complex with attached 2 car garage, 1 assigned parking space, yard and in a good condition. Close to BART and shopping. No Pet restrictions."
c	21410668	7300668	3884 Klamath Way	Napa	CA	94558	38.32945633	-122.3135757	SFR	494500	494500	4	2	1474	(null)	6970	"In Ground, Pool Sweep"	"2 Car, Attached, Auto Door, Interior Access"	(null)	"Hookups Only, In Garage"	1977	1	Y	Level	Traditional	"Central Heat, Gas"	"Ceiling Fan(s), Whole House Fan"	Stucco	"Laminate, Part Carpet, Tile"	(null)	"Cable TV available, City Utilities, DSL Available, Gas Water Heater, Natural Gas, PG&E"	1	0	0	0	60	"Ready for summer? Imagine yourself poolside, listening to your own waterfall, hosting friends and family for those outdoor parties. Beautiful 4 bed/2 bath home, with extra bonus yoga/play room off master. So much space and a wonderful open floor plan from inside to out. New carpet and flooring; walk-in closet in master; whole house fan; RV parking and dog run. Move right in and enjoy the good life. Close to services and great restaurants."
c	21412632	85518379	7015 Cliff Ave	Bodega Bay	CA	94923	38.39704514	-123.0937526	SFR	399000	365000	1	1.5	1000	Composition	3202	(null)	1 Car	"Ocean, Panoramic, Water"	(null)	1942	2	Y	"Level, Downslope"	"Bungalow, Cabin"	(null)	(null)	Wood Siding	Wall-to-Wall Carpet	(null)	"PG&E, Propane"	0	0	0	0	68	It's the view! Vintage home in need of significant repair in million dollar location.
d	40646392	4012977	3801 Valley Oak Dr	Brentwood	CA	94513	37.89452472	-121.628539	SFR	1395000	1395000	4	4.5	4316	Tile	178596	"Gas Heat, Gunite, In Ground"	"7 Garage Spaces, Covered Parking, Detached Garage, Drive Through Parking, Garage Parking, Garage Door Opener"	(null)	"220 Volt Outlet, Gas Dryer Hookups, In Laundry Room"	2001	1	Y	"Horses Possible, Level, Premium Lot"	Custom	Forced Air 2 Zones	"Ceiling Fan(s), Central 2 or more Zones A/C"	Stucco	"Marble/Stone, Slate"	(null)	"Fire Sprinklers, Security Alarm System - Owned, Stereo Speakers Built-In"	1	0	0	0	99	"Exquisite Estate located on 4 acres. Enter this beautiful custom built home by pulling up valet style under a 25ft portico or drive through your 2000 sq ft, 7 car garage. 1.5 acres of stunning landscaping, pebbletech pool w\ vanishing edge spa, waterfall with seated grotto.."
d	40664997	3673585	1261 Hearst Ave	Berkeley	CA	94702	37.87112791	-122.288226	SFR	450000	505000	1	1	665	Composition Shingles	1066	(null)	(null)	(null)	"Dryer, In Basement, Washer"	1923	1	Y	Corner	"Bungalow, Craftsman"	Forced Air 1 Zone	(null)	Wood Siding	"Hardwood Floors Throughout, Linoleum"	(null)	Window Coverings	0	0	0	0	35	"Adorable craftsman style bungalow in North Berkeley. Updated kitchen with marble counter tops, dishwasher and gas range. In the living room you'll find a decorative fireplace and built in cabinets. Abundant natural light enters the kitchen and bathroom via skylights."
a	81417206	11144160	939 Linda Mar Boulevard	Pacifica	CA	94044	37.589311	-122.494128	CONDO	559000	575000	2	2	1180	Composition	21168	(null)	"Attached, Guest Parking, 2 Car Garage"	"Ocean, Valley"	"In Garage, Dryer, Washer"	1987	(null)	Y	(null)	Ranch	Central Forced Air	(null)	(null)	"Slate, Laminate, Wall to Wall Carpet"	450	"Fire Sprinkler System, Double Pane Window(s), Vaulted Ceiling, Balcony or Patio, Cable TV Available"	0	0	0	0	40	"Spacious 2 Bedroom Suite 2 Bath Condo with Ocean views that is totally unattached and shares no walls with neighbors. Open kitchen with Quartz countertops and S/S appliances & eat in bar. Wood burning fireplace in living room, with vaulted ceilings, ocean views and access to decks. Attached 2 car garage with laundry area. New carpet & laminate flooring and much more."
d	40666384	4187494	16 Denyce Ct.	Alamo	CA	94506	37.84430695	-122.0318146	SFR	1500000	1460000	5	2.5	2759	Composition Shingles	18700	In Ground	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	In Laundry Room	1963	1	Y	Court	Ranch	Forced Air 2 Zones	Central 2 or more Zones A/C	(null)	"Hardwood Floors, Tile, Wall to Wall Carpet"	(null)	Central Vacuum	1	0	0	0	1	"gorgeous single story 5 bedroom, located on the westside of alamo. fabulous court private location, walk to schools, amazing throughout. large flat lot with sparkling pool..."
c	21406232	7033246	47 Longwood Dr	San Rafael	CA	94901	37.98236556	-122.5533445	SFR	1195000	1200000	4	3	1949	(null)	14026	(null)	"2 Car, Attached, Interior Access"	"Greenbelt, Hills"	"Dryer Included, In Garage, Washer Included"	1971	(null)	Y	Downslope	"Bungalow, Contemporary"	Central Heat	Central Air	Stucco	"Hardwood, Part Carpet"	(null)	"Cable TV available, DSL Available, Internet Available, PG&E"	0	0	0	0	63	"Inviting Racquet Club Estates Contemporary 4 bdrm 3 bath home w/versatile floor plan incl formal living room w/open beam ceiling, hillside vistas & fireplace. The remodeled Arts & Crafts style chefs' kitchen has beautiful custom cabinetry. Master suite & office (4thbdrm) complete the level. Below are 2 large bdrms & a spacious family room. The 2 unfinished bonus rooms are ready to become the perfect space to suit your needs."
d	40653267	81138841	561 53rd St	Oakland	CA	94609	37.83854449	-122.2637739	CONDO	318000	359000	1	1	851	Composition Shingles	(null)	(null)	"1 Garage Space, Off Street Parking, Tandem Parking"	(null)	In Unit	1924	1	Y	Level	Craftsman	Forced Air 1 Zone	(null)	Stucco	"Hardwood Floors Throughout, Tile"	150	"Fire Sprinklers, Security Alarm System - Leased"	0	0	0	0	26	"Live in the center of it all in this gorgeous Temescal remodel! Hardwood floors throughout. Fireplace, marble tile, craftsman detail, outdoor space. All major systems upgraded with tank-less water heater and high efficiency furnace. Steps from great restaurants and nightlife! Open Sat 4/19, 1 to 4pm"
d	40656833	3698739	1008 Taylor Ave	Alameda	CA	94501	37.77200317	-122.2676544	SFR	599000	725000	2	1	1131	Composition Shingles	2812	(null)	"1 Garage Space, Attached Garage, Interior Access From Garage, Off Street Parking, Garage Door Opener"	(null)	"Dryer, In Garage, In Laundry Room, Washer"	1925	(null)	Y	"Level, Regular"	"Bungalow, Craftsman, Traditional"	"Forced Air 1 Zone, Gas"	Ceiling Fan(s)	Stucco	"Hardwood Floors Throughout, Tile"	(null)	(null)	0	0	0	0	21	"Gorgeous Craftsman on edge of Gold Coast. Vintage details, renovated kitchen w\cozy breakfast nook, lovely backyard w\deck, patio & garden. Drought tolerant, native plantings on drip irrigation. Garage, laundry room & spacious basement\workshop. Near Webster, Farmer's Market, parks, beaches & ferry."
c	21404845	7091410	33 Park St	Woodacre	CA	94973	38.0116806	-122.6429901	SFR	550000	525000	2	1.5	1350	Composition	4901	(null)	"Side By Side, Uncovered Parking, Off Street Parking, On Street Parking"	"Forest/Woods, Greenbelt, Hills, Park, Partial, Ridge"	"220 Volt Wiring, Dryer Included, Electric, In Closet, Washer Included"	1998	2	(null)	"Level, County"	Cottage	"Central Heat, Propane"	(null)	(null)	"Laminate, Part Carpet, Simulated Wood"	(null)	"Fire Sprinklers, Smoke Alarm(s), Awning, Cable TV available, PG&E, Propane"	0	0	0	0	71	"Tucked away in a small hamlet of Woodacre with functional layout & modern amenities. Built in 1998 yet oozing old-fashioned charm, 33 Park will capture your heart. Enjoy front facing balcony off master bedroom & matching wooden porch below offering views of The Park. Bonus 3rd bedrm/office on same floor as other bdrms. Living Room flows both to office alcove & Eat-in kitchen. From kitchen enter sun porch that doubles as cosy den."
d	40648786	4128693	1430 Bel Air Dr #204	Concord	CA	94521	37.96096039	-121.9930191	CONDO	235000	225000	2	2	940	Tile	(null)	"Community Facility, Pool"	"Garage Parking, Guest Parking, 2 Parking Spaces/Unit"	(null)	"Dryer, In Unit, Washer"	1990	1	Y	Zero Lot Line	Mediterranean	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Laminate, Wall to Wall Carpet, Wood"	395	Window Coverings	0	0	0	0	66	"Spectacular condo! Rare 2 bedroom, 2 bath unit in the coveted & gated Galindo Creek community. Tastefully upgraded throughout, large living room space divides two spacious bedrooms, wood fireplace, cozy kitchen, and patio space. Centrally located to Bart, secure building, washer/dryer in the unit!"
d	40650190	3707378	636 Centre Ct	Alameda	CA	94502	37.74578857	-122.2372208	TOWNHOUSE	529000	526000	2	2.5	1740	Composition Shingles	61855	(null)	"1 Garage Space, 1 Carport, Guest Parking, Security, Garage Door Opener"	Hills	"220 Volt Outlet, Dryer, In Closet, In Unit"	1985	2	Y	"Corner, Level"	Contemporary	"Forced Air 1 Zone, Gas"	(null)	Wood Shingles	"Hardwood Floors, Tile, Vinyl, Wall to Wall Carpet"	467	Window Coverings	0	0	0	0	59	"Pristinely kept 2 bedroom, 2 1/2 bath, with huge open den townhouse condominium in Harbor Bay.Living room and dining room have hardwood floors. Custom window coverings throughout. All appliances included. Kitchen cabinets refurbished. Beautiful oversized, garden setting backyard. Walk to shoreline"
d	40649245	4130276	3558 Torino Way	Concord	CA	94518	37.94685745	-122.0094376	SFR	699000	710000	4	2.5	2401	Composition Shingles	9180	"In Ground, Pool Cover, Solar Heat"	"2 Garage Spaces, Attached Garage, Garage Door Opener"	Hills	"220 Volt Outlet, Hookups Only, In Laundry Room"	1974	2	Y	"Cul-de-sac, Level, Premium Lot, Regular"	Traditional	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Hardwood Floors, Laminate, Tile, Wall to Wall Carpet"	(null)	"DSL/Modem Line, Security Alarm System - Leased, Window Coverings"	1	0	0	0	50	"Beautifully updated 4 bdrm+den(or 5th bdrm), 2.5 bath home backs to Limeridge Open Space. Open floor plan; light and bright. Granite Kitchen features gas range, SS appliances, pantry, nook, opens to family room; views of the hills. Spacious yard. SQ FT est only-buyer to verify. Open Sat/Sun 1:30-4 pm..."
a	81412335	11746003	674 Mountain View Drive	Ben Lomond	CA	95005	37.08085632	-122.0902023	SFR	685000	685000	3	3	2130	"Shingle, Composition"	14680	(null)	"Detached, Guest Parking, 2 Car Garage"	(null)	"220 Volts In Kitchen, 220 Volts In Laundry Area, Dryer Included, Washer Included"	1993	(null)	Y	(null)	Traditional	"Propane, Radiant, Central Forced Air"	No Cooling	"Wood, Brick"	"Area Carpeting, Slate, Tile"	(null)	"Double Pane Window(s), Cable TV available, Ceiling Fan(s), Security Alarm System - Owned, Window Coverings"	0	0	0	0	32	Custom built home in a lovely mountain setting with meticulous finish work.
a	81409538	11691747	422 Rigg Street	Santa Cruz - West Side	CA	95060	36.97181702	-122.0389328	SFR	835000	825000	3	1	1453	Composition	6098	(null)	"Detached, Tandem, 1 Car Garage"	Neighborhood	"In Laundry Room, Dryer"	1919	(null)	Y	(null)	Craftsman	"Natural Gas, Central Forced Air"	(null)	Stucco	"Area Carpeting, Hardwood"	(null)	"Window Covering(s), Double Pane Window(s)"	0	0	0	0	80	"Great Westside location!!This true Craftsman home sits on a quiet street located in Westlake School District.New kitchen designed by Santa Cruz Kitchen & Bath,w/ granite counters,stainless appliances/sink,built-ins,hardwood floors,office or 4th bedroom (?),dual pane lower sash windows,newer roof w/copper gutters,tank less water heater,new exterior paint,slate entry porch,stamped concrete driveway."
d	40651917	3822076	99 Austin	Hayward	CA	94544	37.65186176	-122.0859295	SFR	499000	500000	4	2.5	1466	Composition Shingles	3556	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"220 Volt Outlet, Hookups Only"	1990	2	Y	Regular	(null)	Gas	(null)	Vinyl Siding	"Tile, Wall to Wall Carpet"	(null)	Window Coverings	0	0	0	0	75	"Location!! Location!! location!! Beautiful 4 bedroom 2.5 remodeled baths with new Vanities.. New Granite Counter top, New tile floor and Cabinets. Brand new Microwave, Dishwasher, Gas range and Refrigerator. New Carpet through out the house..."
a	81409326	11009392	402 Donaldson Avenue	Pacifica	CA	94044	37.60930634	-122.4932861	SFR	425000	400000	1	1	630	Composition	3350	(null)	(null)	(null)	(null)	1915	(null)	(null)	(null)	(null)	No Heat	(null)	(null)	"Wall to Wall Carpet, Linoleum or Vinyl"	(null)	(null)	0	0	0	0	116	"Contractor's Special - Located in Pacifica's famous Rockaway Beach area, this home offers an easy walk to the beach, Sweeny Ridge hiking trail, fine dining, shopping and much more. Discover for yourself the charms this coastal community has to offer."
d	40664092	3877915	41532 Fordham Ct	Fremont	CA	94539	37.54131317	-121.9396439	SFR	1569000	1569000	4	3	1989	Wood Shakes/Shingles	15065	(null)	"2 Garage Spaces, Attached Garage, 2 Or More Carports, RV / Boat Parking, Side Yard Access, Garage Door Opener"	(null)	"220 Volt Outlet, Hookups Only, In Laundry Room"	1958	1	Y	"Cul-de-sac, Irregular, Level"	Ranch	"Forced Air 1 Zone, Gas"	Ceiling Fan(s)	Stucco	"Hardwood Floors, Laminate, Marble/Stone, Slate, Tile"	(null)	Window Coverings	0	0	0	0	29	"Huge lot in prime Mission area (15,065 sq ft)*Exquisite home w custom paint*Hdwd /laminate/tile floors*Walk to Chadbourne elem/Hopkins Jr/Mission HS*Formal lvg room w fireplace*eating area in kitchen + formal eating area*remodeled kitchen and baths*lots of space to expand*Open Hse Sat/Sun Jul 12/13"
d	40654028	3727048	1560 Daily Drive	San Leandro	CA	94577	37.72162247	-122.1290207	SFR	899000	1020000	5	3.5	3942	Composition Shingles	73616	(null)	"2 Garage Spaces, Attached Garage, Guest Parking, Off Street Parking, Parking Space(s), Area, Workshop in Garage, Garage Door Opener"	"Bay, Bay Bridge, City Lights, Downtown, San Francisco"	"220 Volt Outlet, Dryer, In Laundry Room, Washer"	1972	2	Y	"Downslope, Irregular, Premium Lot"	Ranch	"Forced Air 1 Zone, Gas, Perimeter"	(null)	"Brick, Stucco"	"Concrete Slab, Hardwood Floors, Wall to Wall Carpet"	(null)	"Central Vacuum, Window Coverings"	0	0	0	0	37	"First time on the Market. Possible 5 bridge view on a clear day. Mostly a one story residence with only the recreation room, 3rd bath and 5th bedroom downstairs. Plenty of decking to take advantage of the panoramic view. Only two bedrooms have no panoramic view. This is truly a unique home."
a	81422123	11605837	3574 Cour Du Vin	San Jose - Evergreen	CA	95148	37.32261	-121.768712	SFR	1230000	1230000	5	3	2445	Tile	6970	(null)	"Attached, Gate/Door Opener, 3 Car Garage"	"Mountains, Neighborhood"	In Laundry Room	1997	(null)	Y	Level	Traditional	Central Forced Air	Central Air	Stucco	"Tile, Wall to Wall Carpet"	(null)	"Security Alarm - Owned, Double Pane Window(s), High Ceiling"	0	0	0	0	41	"Gorgeous home in highly desirable evergreen area with excellent school district! Immaculate & impeccable condition! New interior & exterior paint~ upgraded crown molding in formal dining, kitchen & family room~ high ceilings~ gourmet kitchen w/granite counter top, center island & recessed light~ 1 bedroom w/full bath grnd floor~ upgraded wall to wall carpet upstairs~ 3 car garage~ much more!"
c	21326415	11860655	4716 Udell Rd	Vacaville	CA	95688	38.4345665	-121.9548492	SFR	370000	360000	3	1	1475	(null)	23958	(null)	"1 Car, Detached, Auto Door, RV / Boat Parking"	(null)	"Hookups Only, In Laundry Room"	1963	1	(null)	"Level, County"	Ranch	Central Heat	"Ceiling Fan(s), Central Air"	Stucco	(null)	(null)	"PG&E, Propane"	0	0	0	0	152	"Country Living without all the property to deal with it! This charming home has 3 bedrooms, over 1,475 square feet and is located on a 1/2 acre lot. Beautiful wood floors in the entry and hallway. Large family room with French doors that lead to the covered patio. Indoor laundry with tons to cabinet space. Detached garage/shop and covered RV parking."
a	81413427	11302054	633 Farley Street	Mountain View	CA	94043	37.40485382	-122.0886307	SFR	899000	1007000	3	1	860	Tar And Gravel	6300	(null)	"Attached, Electric Door or Gate Opener, 2 Car Garage"	Neighborhood	"Gas Hookup In Laundry Area, Laundry Area - Inside"	1950	(null)	(null)	"Level, Corner"	Ranch	"Wall Furnace, Gas"	No Cooling	Stucco	"Tile, Wall to Wall Carpet, Hardwood"	(null)	"Double Pane Window(s), High Ceilings, Skylight(s), Cable TV available, Ceiling Fan(s)"	0	0	0	0	29	"Superb remodel, wonderful neighborhood near downtown, served by award-winning Los Altos High! Bright, open layout w/vaulted open beam ceilings, numerous skylights. Chef's kitchen w/new cabinetry, marble counters, stainless steel appliances. Huge corner lot with sprawling lawns, covered rear patio, new landscaping. Around the corner from Stevenson Park, Theuerkauf Elementary, and Crittenden Middle!"
d	40656022	3877065	40818 Capa Dr	Fremont	CA	94539	37.5467453	-121.9498444	SFR	1010000	1120000	4	2	1514	Wood Shakes/Shingles	6480	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	In Garage	1964	1	Y	Regular	Ranch	Forced Air 1 Zone	(null)	Wood Siding	"Laminate, Tile"	(null)	(null)	0	0	0	0	41	Lovely MSJ~ walking dist to Gomes Elemt~.4bd/2ba~new laminated flrs~new remodeled kit~new int paint~new dbl paned windows thru out~remodeled baths~new water heater and furnace~copping piping~new recessed lts~newer ext paint~huge backyard ~excellent condition~O/H Sat and Sun 1-5pm..
d	40664311	4327217	1141 Fairlawn Ct #2	Rossmoor	CA	94595	37.86520386	-122.0736847	CONDO	325000	330500	2	1	1330	Composition Shingles	(null)	"Community Facility, Pool"	"1 Garage Space, 1 Carport"	Wooded	"220 Volt Outlet, Dryer, In Unit, Washer"	1964	1	(null)	(null)	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Concrete Slab, Laminate, Wall to Wall Carpet"	647	Window Coverings	0	0	0	0	54	"Level in, upgraded spacious, large master bedroom, enclosed patio for more living space, skylights, crown molding, washer & dryer in unit, walk-in shower, beautiful courtyard with gate."
a	81409165	11667329	625 Highland Avenue	San Martin	CA	95046	37.07098491	-121.6135946	SFR	899950	900000	3	2	1850	Composition	110207	In Ground	"Attached, Electric Door or Gate Opener, 2 Car Garage, Off Street Parking"	"Mountains, Neighborhood"	"220 Volts In Kitchen, Gas Hookup In Laundry Area, 220 Volts In Laundry Area, Laundry Area - In Garage"	1985	(null)	Y	"Level, Agricultural"	Ranch	"Central Forced Air, Electric, Heat Pump"	Central Air	"Brick, Stone, Stucco"	"Tile, Hardwood"	(null)	"Double Pane Window(s), Air Purifier Built In, Ceiling Fan(s)"	1	0	0	0	63	"Remodeled s/s home on approx 2.5 acres. Gorgeous hardwood & tile flooring throughout/granite kitchen w/ss appli/2 fireplaces. All new HVAC system/ducting/whole house air filtration & integrated fresh air ventilation. New 6kW Solar PV system/8 stall horse barn w/100A & fenced pasture/pool & outdoor BBQ w/covered patio, fenced & nicely landscaped front/backyards, lg garden/orchard/seasonal creek."
d	40664860	3917126	7543 Oxford Cir #127	Dublin	CA	94568	37.72406682	-121.9136933	TOWNHOUSE	499950	500000	2	2.5	1346	Tile	(null)	"Community Facility, Gunite, In Ground, Pool"	"2 Garage Spaces, Attached Garage, Guest Parking, Interior Access From Garage, Garage Door Opener"	Greenbelt	"220 Volt Outlet, Hookups Only, In Garage"	1989	2	Y	(null)	Contemporary	"Forced Air 1 Zone, Gas"	"Ceiling Fan(s), Central 1 Zone A/C"	Wood Siding	"Laminate, Tile, Wall to Wall Carpet"	356	"Mirrored Closet Door(s), Security Alarm System - Owned, Window Coverings"	1	0	0	0	44	"Beautiful Sun filled updated TH. w/2 master suites, retreat, sm loft, skylight & vaulted Ceilings. Kit. w/granite,SS appliances, glass backsplash, wood trim dual pane windows, crown molding, recessed lights, Master bath w/lg soaking tub, tile fls, walkin closet, Newer deck, private end unit."
c	21409294	7286003	801 Foster Rd	Napa	CA	94558	38.2821579	-122.3062973	SFR	395000	375000	4	2	1221	Composition	6098	(null)	"2 Car, Attached, Auto Door, Off Street Parking, RV / Boat Parking"	(null)	"Hookups Only, In Garage, In Kitchen"	1955	2	Y	Corner	Cape Cod	"Fireplace, Natural Gas, Wall Furnace"	"2 Window Units, Ceiling Fan(s)"	Aluminium Siding	"Part Carpet, Tile, Vinyl/Linoleum"	(null)	"City Utilities, Gas Water Heater, PG&E"	0	0	0	0	40	"Sweet 4 bedroom Coventry Manor home on corner lot. Clean and comfy, recently painted, windows and siding have been replaced. Remodeled bathrooms, plantation shutters in LR, Wood burning fireplace. Covered/partially enclosed patio attached to garage and house with cute Cheers bar set up. Great place for those family parties. Lots of room in sideyard plus storage/workshop nearby. Outside paint only few yrs old, newer gutters & downspouts."
